path,target
C:\Users\DELL\PycharmProjects\Payface\data\dataset/dataset-msu-imgs///attack-imgs\attack_client007_android_SD_iphone_video_scene01-00225.png,0
C:\Users\DELL\PycharmProjects\Payface\data\dataset/dataset-msu-imgs///attack-imgs\attack_client053_android_SD_iphone_video_scene01-00180.png,0
C:\Users\DELL\PycharmProjects\Payface\data\dataset/dataset-msu-imgs///attack-imgs\attack_client006_android_SD_ipad_video_scene01-00075.png,0
C:\Users\DELL\PycharmProjects\Payface\data\dataset/dataset-msu-imgs///attack-imgs\attack_client021_android_SD_iphone_video_scene01-00060.png,0
C:\Users\DELL\PycharmProjects\Payface\data\dataset/dataset-msu-imgs///attack-imgs\attack_client035_android_SD_printed_photo_scene01-00075.png,0
C:\Users\DELL\PycharmProjects\Payface\data\dataset/dataset-msu-imgs///attack-imgs\attack_client029_android_SD_printed_photo_scene01-00045.png,0
C:\Users\DELL\PycharmProjects\Payface\data\dataset/dataset-msu-imgs///attack-imgs\attack_client022_android_SD_ipad_video_scene01-00165.png,0
C:\Users\DELL\PycharmProjects\Payface\data\dataset/dataset-msu-imgs///attack-imgs\attack_client007_android_SD_printed_photo_scene01-00210.png,0
C:\Users\DELL\PycharmProjects\Payface\data\dataset/dataset-msu-imgs///attack-imgs\attack_client036_android_SD_printed_photo_scene01-00240.png,0
C:\Users\DELL\PycharmProjects\Payface\data\dataset/dataset-msu-imgs///attack-imgs\attack_client051_android_SD_printed_photo_scene01-00120.png,0
C:\Users\DELL\PycharmProjects\Payface\data\dataset/dataset-msu-imgs///attack-imgs\attack_client051_android_SD_iphone_video_scene01-00285.png,0
C:\Users\DELL\PycharmProjects\Payface\data\dataset/dataset-msu-imgs///attack-imgs\attack_client051_android_SD_iphone_video_scene01-00255.png,0
C:\Users\DELL\PycharmProjects\Payface\data\dataset/dataset-msu-imgs///attack-imgs\attack_client033_android_SD_ipad_video_scene01-00060.png,0
C:\Users\DELL\PycharmProjects\Payface\data\dataset/dataset-msu-imgs///attack-imgs\attack_client051_android_SD_ipad_video_scene01-00285.png,0
C:\Users\DELL\PycharmProjects\Payface\data\dataset/dataset-msu-imgs///attack-imgs\attack_client051_android_SD_iphone_video_scene01-00240.png,0
C:\Users\DELL\PycharmProjects\Payface\data\dataset/dataset-msu-imgs///attack-imgs\attack_client032_android_SD_printed_photo_scene01-00015.png,0
C:\Users\DELL\PycharmProjects\Payface\data\dataset/dataset-msu-imgs///attack-imgs\attack_client055_android_SD_printed_photo_scene01-00015.png,0
